No,Map,Total AGVs,Horizontal Time,Time step,Solution,Num of Reaching Target AGVs,Num of Halting AGVs,Objective Value,Running Time(s),# Of Solving,Pedestrian simulation mode
193.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.0014688968658447266,0.0003561973571777344,1,2025-06-06 21:55:07
194.0,simplest.txt,2,10,10,solver,2,0,15.0,0.006579875946044922,0.004547,1,2025-06-06 21:55:07
195.0,simplest.txt,2,10,10,networkx,0,2,0,0.062433481216430664,0.00034737586975097656,2,2025-06-06 21:55:07
196.0,simplest.txt,2,10,10,solver,0,2,0,0.006914854049682617,0.0040149999999999995,2,2025-06-06 21:55:07
197.0,simplest.txt,2,10,10,networkx,0,2,0,0.08569693565368652,0.000823974609375,0,2025-06-08 17:27:46
198.0,simplest.txt,2,10,10,solver,0,2,0,0.0655977725982666,0.049616,0,2025-06-08 17:27:46
199.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.0013339519500732422,0.00034308433532714844,1,2025-06-08 17:27:46
200.0,simplest.txt,2,10,10,solver,2,0,15.0,0.00677180290222168,0.004313,1,2025-06-08 17:27:46
201.0,simplest.txt,2,10,10,networkx,0,2,0,0.0026216506958007812,0.0005233287811279297,2,2025-06-08 17:27:46
202.0,simplest.txt,2,10,10,solver,0,2,0,0.006164073944091797,0.0035039999999999997,2,2025-06-08 17:27:46
203.0,simplest.txt,2,10,10,networkx,0,2,0,5.955566167831421,0.0029277801513671875,0,2025-06-08 17:40:36
204.0,simplest.txt,2,10,10,solver,0,2,0,0.2795097827911377,0.090504,0,2025-06-08 17:40:37
205.0,simplest.txt,2,10,10,networkx,0,2,0,0.7840650081634521,0.0005872249603271484,0,2025-06-08 18:16:02
206.0,simplest.txt,2,10,10,solver,0,2,0,0.17550015449523926,0.11048999999999999,0,2025-06-08 18:16:02
207.0,simplest.txt,2,10,10,networkx,2,0,15.0,1.142655372619629,0.0004344781239827474,1,2025-06-08 18:16:03
208.0,simplest.txt,2,10,10,networkx,0,2,0,0.0447232723236084,0.0007123947143554688,0,2025-06-08 18:27:04
209.0,simplest.txt,2,10,10,solver,0,2,0,0.014798164367675781,0.011293,0,2025-06-08 18:27:04
210.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.0033159255981445312,0.00023166338602701822,1,2025-06-08 18:27:05
211.0,simplest.txt,2,10,10,networkx,0,2,0,0.758704662322998,0.0011463165283203125,0,2025-06-08 18:47:22
212.0,simplest.txt,2,10,10,solver,0,2,0,0.01274251937866211,0.009288,0,2025-06-08 18:47:22
213.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.3076653480529785,0.00038242340087890625,1,2025-06-08 18:47:23
214.0,simplest.txt,2,10,10,solver,2,0,15.0,0.013848304748535156,0.010092,1,2025-06-08 18:47:23
